group (informal),order,family,genus,species,based on,era,period,epoch,formation,continent,country,reference (APA),year,doi,author of the reconstruction,Copyright holder,license,type of reconstuction,Full text link,notes
conifers,,,Sergeia,Sergeia neuburgii,,Palaeozoic,Carboniferous,Pennsylvanian,,North America,,Rothwell G. W. Mapes G. & Mapes R. H. (1996). Anatomically preserved vojnovskyalean seed plants in Upper Pennsylvanian (Stephanian) marine shales of North America. Journal of Paleontology 70(6) 1067-1079.,1996,https://doi.org/10.1017/S0022336000038750,,The Paleontological Society,,reproductive structure,https://www.cambridge.org/core/journals/journal-of-paleontology/article/anatomically-preserved-vojnovskyalean-seed-plants-in-upper-pennsylvanian-stephanian-marine-shales-of-north-america/C3780929E4F79108857FCC0D27E0A39B,
conifers,,,Telemachus,,Heidiphyllum & Telemachus & Notophyton & Switzianthus & Parasciadopytis,Mesozoic,Triassic,,,Antarctica,Antarctica,Bomfleur B. Decombeix A. L. Escapa I. H. Schwendemann A. B. & Axsmith B. (2013). Whole-plant concept and environment reconstruction of a Telemachus conifer (Voltziales) from the Triassic of Antarctica. International Journal of Plant Sciences 174(3) 425-444.,2013,https://doi.org/10.1086/668686,,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/668686?casa_token=gYTdNRIj3N4AAAAA:MgDC74PXTijGirHbEKtTl7hTbj5SEWaeoG7BM9za5gYEoNHDYJYgBH_Fx-2R1-VMHYAESfO6aq94qg,
conifers,,,Austrohamia,Austrohamia minuta,,Mesozoic,Jurassic,Lower Jurassic,Lonco Trapial formation,South America,Argentina,Bodnar J. & Escapa I. H. (2016). Towards a whole plant reconstruction for Austrohamia (Cupressaceae): New fossil wood from the Lower Jurassic of Argentina. Review of Palaeobotany and Palynology 234 186-197.,2016,https://doi.org/10.1016/j.revpalbo.2016.09.005,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/pii/S0034666716300586?casa_token=fDEb2ChjmBwAAAAA:Wj_V_9njz-0x2mrI50umEnsdY-dFrfzuYAJl6fsyZ9hAa0n-D5EU89IxFNKPjylenQs0D5Zn2otq,
cordaites,Cordaitales,,Cordaixylon,Cordaixylon dumusum,,Palaeozoic,Carboniferous,Pennsylvanian,Duquesne coal,North America,USA,Rothwell G. W. & Warner S. (1984). Cordaixylon dumusum n. sp.(Cordaitales). I. Vegetative structures. Botanical Gazette 145(2) 275-291.,1984,10.1086/337456,,UNIVERSITY OF CHICAGO PRESS,,whole plant-ish,https://www.jstor.org/stable/pdf/2474349.pdf?casa_token=cmZ8UpNxqgcAAAAA:VwNdK9z2tV_lRlmAn-Uz0rzp3plai59c4DfOBsQDj90gwW2r8DqjORtFjIJ_P26w8W8Dwp7heu1NNKdoMEGDKmnG5fNTNv3iLiTrjZVRCw-W-w4ZlDxI1w,usable under US fair use
cycadophytes,Nilssoniales,,Nilssoniocladus,Nilssoniocladus nipponensis,,Mesozoic,Cretaceous,Early Cretaceous,,Aisa,Japan,Kimura T. & Sekido S. (1975). Nilssoniocladus n. gen.(Nilssoniaceae n. fam.) newly found from the early Lower Cretaceous of Japan. Palaeontographica Abteilung B 111-118.,1975,,,Schweizerbart,,branch,,
cycadophytes,Nilssoniales,,Beania,,,Mesozoic,Jurassic,Middle Jurassic,Cloughton Formation,Europe,UK,Harris T. M. (1961). The fossil cycads. Palaeontology 4(3) 313-323.,1961,,,Paleontological Association,,whole plant,https://www.palass.org/sites/default/files/media/publications/palaeontology/volume_4/vol4_part3_pp313-323.pdf,
cycadophytes,Bennettitales,,Wielandiella ,Wielandiella angustifolia,,Mesozoic,Triassic,,,,,Pott C. & McLoughlin S. (2014). Divaricate growth habit in Williamsoniaceae (Bennettitales): unravelling the ecology of a key Mesozoic plant group. Palaeobiodiversity and Palaeoenvironments 94(2) 307-325.,2014,10.1007/s12549-014-0157-9,Pollyanna von Knorring,Springer Nature,,whole plant,https://link.springer.com/article/10.1007/s12549-014-0157-9,
cycadophytes,,,Phasmatocycas,Phasmatocycas bridwellii,,Palaeozoic,Carboniferous,Pennsylvanian,Lawrence Shale,North America,USA,Axsmith B. J. Serbet R. Krings M. Taylor T. N. Taylor E. L. & Mamay S. H. (2003). The enigmatic Paleozoic plants Spermopteris and Phasmatocycas reconsidered. American Journal of Botany 90(11) 1585-1595.,2003,10.3732/ajb.90.11.1585,,Botanical Society of America,unclear,whole plant,https://bsapubs.onlinelibrary.wiley.com/doi/full/10.3732/ajb.90.11.1585,
cycadophytes,,,Pterophyllum/Nilssonia,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
cycadophytes,,,Taeniopteris,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
cycadophytes,,,Baikalophyllum,Baikalophyllum lobatum,,Mesozoic,Cretaceous,Early Cretaceous,Yixian Formation,Asia,China,Pott C. McLoughlin S. LindstrÅ¡m A. Shunqing W. & Friis E. M. (2012). Baikalophyllum lobatum and Rehezamites anisolobus: Two seed plants with Ã’cycadophyteÃ“ foliage from the Early Cretaceous of eastern Asia. International Journal of Plant Sciences 173(2) 192-208.,2012,10.1086/663276,Pollyanna von Knorring,UNIVERSITY OF CHICAGO PRESS,,whole plant-ish,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/663276?casa_token=DJlZ56BFWZ0AAAAA:Q_B-x5OiOgXbMtZ1G8ymvjDEn5uncKlnHzN0jOpZTaL-LZZH82Z4ghqd9ixwmqHedRpTovM6NsGXOw,
cycadophytes,,,Rehezamites,Rehezamites anisolobus,,Mesozoic,Cretaceous,Early Cretaceous,Yixian Formation,Asia,China,Pott C. McLoughlin S. LindstrÅ¡m A. Shunqing W. & Friis E. M. (2012). Baikalophyllum lobatum and Rehezamites anisolobus: Two seed plants with Ã’cycadophyteÃ“ foliage from the Early Cretaceous of eastern Asia. International Journal of Plant Sciences 173(2) 192-208.,2012,10.1086/663276,Pollyanna von Knorring,UNIVERSITY OF CHICAGO PRESS,,whole plant-ish,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/663276?casa_token=DJlZ56BFWZ0AAAAA:Q_B-x5OiOgXbMtZ1G8ymvjDEn5uncKlnHzN0jOpZTaL-LZZH82Z4ghqd9ixwmqHedRpTovM6NsGXOw,
cycadophytes,Bennettitales,,,,Cycadolepis wettsteinii & Haitingeria krasseri & Bennetticarpus wettsteinii,Mesozoic,Triassic,Late Triassic,,Europe,Austria,Pott C. Krings M. Kerp H. & Friis E. M. (2010). Reconstruction of a bennettitalean flower from the Carnian (Upper Triassic) of Lunz Lower Austria. Review of Palaeobotany and Palynology 159(1-2) 94-111.,2010,10.1016/j.revpalbo.2009.11.004,Pollyanna von Knorring,Elsevier,,reproductive structure,https://www.sciencedirect.com/science/article/pii/S0034666709002061?casa_token=rhLRLJbZnt0AAAAA:x7NqdDfTzX9KVwPyGgbrycbLEnx3bnMAUgFwT83oJmxkVDs4uEnE8GLGCPb8L0eYxn9UiGnAf0CF,
cycads,Cycadales,,Leptocycas,Leptocycas yangcaogouensis,,Mesozoic,Triassic,,Yangcaogou Formation,Asia,China,ZHANG J. W. YAO J. X. CHEN J. R. & LI C. S. (2010). A new species of Leptocycas (Zamiaceae) from the Upper Triassic sediments of Liaoning Province China. Journal of Systematics and Evolution 48(4) 286-301.,2010,doi.org/10.1111/j.1759-6831.2010.00079.x,,Institute of Botany,,,,
cycads,Cycadales,,Antarcticycas,,Antarcticycas schopfii,,,,,,,,,,,,,,,
cycads,Cycadales,,Leptocycas,Leptocycas gracilis,,Mesozoic,Triassic,,,North America,USA,Delevoryas T. & Hope R. C. (1971). A new Triassic cycad and its phyletic implications. Peabody Museum of Natural History Yale University.,1971,,,,,whole plant,,
cycads,Cycadales,,Bjuvia,,Bjuvia simplex& Palaeocycas integer,Mesozoic,Triassic,,,Europe,Sweden,Florin R. 1933. Studien uber die Cycadales des Mesozoikums nebst Erorterngen uber die Spaltoffnungsapparate der Bennettitales. K. Svenska Vetensk. Acad. Handl. 12 pp.1-134.,1933,,,???,,whole plant,,
cycads,,,Bjuvia,,,Mesozoic,Triassic,Middle Triassic,Dont Formation,Europe,Italy,Kustatscher E. van Konijnenburg-van Cittert J. H. & Roghi G. (2010). Macrofloras and palynomorphs as possible proxies for palaeoclimatic and palaeoecological studies: A case study from the Pelsonian (Middle Triassic) of KÅ¸hwiesenkopf/Monte PrË† della Vacca (Olang Dolomites N-Italy). Palaeogeography Palaeoclimatology Palaeoecology 290(1-4) 71-80.,2010,https://doi.org/10.1016/j.palaeo.2009.07.001,,Elsevier,,whole plant,https://www.sciencedirect.com/science/article/abs/pii/S0031018209002752,
cycads,,,Ctenis,Ctenis sp.,,Mesozoic,Cretaceous,Late Cretaceous,Big Cedar Ridge,North America,USA,,,,Mary Parrish,???,,whole plant,https://naturalhistory2.si.edu/ETE/ETE_People_Wing_ResearchThemes_BCR.html,
cycads,Cycadales,,Microzamia,Microzamia gibba,,Mesozoic,Cretaceous,Late Cretaceous,Peruc-Korycany Formation,Europe,Czechia,Kvac_ek J. (1997). Microzamia gibba (Reuss) Corda: a cycad ovulate cone from the Bohemian Cretaceous Basin Czech RepublicÃ‘micromorphology and a reinterpretation of its affinities. Review of Palaeobotany and Palynology 96(1-2) 81-97.,1997,10.1016/S0034-6667(96)00047-4,,Elsevier,,cone,https://www.sciencedirect.com/science/article/pii/S0034666796000474,
ferns,Gleicheniales,,Hausmannia,Hausmannia sp.,,Mesozoic,Cretaceous,Late Cretaceous,Big Cedar Ridge,North America,USA,,,,Mary Parrish,???,,whole plant,https://naturalhistory2.si.edu/ETE/ETE_People_Wing_ResearchThemes_BCR.html,
ferns,Gleicheniales,,Clathropteris,Clathropteris meniscioides,,Mesozoic,Jurassic,Early Jurassic,Unnamed Formation equivalent to Las Leoneras Formation,South America,Argentina,Choo T. Y. S. Escapa I. H. & Bomfleur B. (2016). Monotypic colonies of Clathropteris meniscoides (Dipteridaceae) from the Early Jurassic of central Patagonia Argentina: implications for taxonomy and palaeoecology. Palaeontographica Abteilung B 294(1) 85Ãê109.,2016,10.1127/palb/294/2016/85,,Schweizerbart,,whole plant,https://www.schweizerbart.de/papers/palb/detail/294/86916/Monotypic_colonies_of_Clathropteris_meniscioides_Dipteridaceae_from_the_Early_Jurassic_of_central_Patagonia_Argentina_implications_for_taxonomy_and_palaeoecology,
ferns,Gleicheniales,,Dictyophyllum,Dictyophyllum menendezi,,Mesozoic,Triassic,,Barreal Formation,South America,Argentina,Bodnar J. Drovandi J.M. Morel E.M. and Ganuza D.G. 2018. Middle Triassic dipterid ferns from west-central Argentina and their relationship to palaeoclimatic changes. Acta Palaeontologica Polonica 63 (2): 397Ãê416.,2018,,,Authors,CC BY,frond,https://www.app.pan.pl/archive/published/app63/app004592018.html,
ferns,Hymenophyllales,,Hopetedia,Hopetedia praetermissa,,Mesozoic,Triassic,,,North America,USA,Axsmith et al. (2001) A filmy fern from the upper Triassic of North Carolina (USA),2001,10.2307/3558399,,Botanical Society of America,,,https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.2307/3558399,
ferns,Zygopteridales,,Corynepteris,Corynepteris cabrierensis,,Palaeozoic,Carboniferous,,,Europe,,Galtier,2004,10.1016/S0034-6667(03)00133-7,,,,,https://s3.amazonaws.com/academia.edu.documents/48890933/s0034-6667_2803_2900133-720160916-7452-1ifg93z.pdf?response-content-disposition=inline%3B%20filename%3DA_new_zygopterid_fern_from_the_Early_Car.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BAGOGLWUEF%2F20200526%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200526T195501Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFMaCXVzLWVhc3QtMSJHMEUCIDvwbbgyN%2Bpex0wf4KwMLEiTM0QxsZQujPi4oK%2F11x75AiEAtm5r4T7fsB%2Fcf49XcRBTCEq8wu9fFCrUuZfy27WS6rMqvQMIq%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgwyNTAzMTg4MTEyMDAiDH5hNZXxbdtFwjQxwiqRA0KSLJCXo0HIe8M3mdrtmuObcCs%2FrbZme%2FqJ14Wl0F3xmokHnRrV3s9hHxObOaH6ukDuHsCSdjKvZC2WR20%2Bae5nU7UsbaehVTMgq8vBLVdJjWw2%2F7XRx43d6mzNzd97LN5GeB%2BthnaU69ru0kgK7cjC4jIfmHwIgofe2i0LIB6w5vyGBTkVpYa2Y4PYKC05k5K8fs5%2BtqRgvPwGR3BM1LE1FHoQ2ZqGklD9zp2Vtb7jwTVoUfVYviXIrBBTgjPskp34gv8XRGya7M0kkII9gRivesvrB2MvPKpHHY8EVij3XpPHbU1Dm8%2BFnfkr5iZpSIcXqdP7lKh7iAA5T0vy1WOenkt%2F16LYgaRDml2Xt45U8lu1reUAJsPbzr18awG%2FhTduXIDxrpUQZxbCzLl5y9ves3FumcXW2%2F%2Bh2u5dSN5YJFvxzAzIHWV00tqT%2FqlAOmweqFhVP0FsbOQBSfa7RIj%2BZToU1X8%2FpfgFfycHSgXI7TyLBAAeQYaKf2%2BAD4gfOtbqjaJLSiYqr9L2wSCDnG50MNS7tfYFOusBlNw9DkUE%2FAn9W4u7MOBrRdrYEAHKzGX0q2RRCv3Da5cPaHDF%2FoCz2rj75u3E3fXQNqQoCc3vm9mlKbkhy4WZs7J2SOIM3C2vBZC2OkZbKD2a39lN61l3Vc65jx4V64xwSsdJ57m5EIlS3jKPVc0WZOg1BctnCbihrNCgm1c04OX75ST0%2Bp%2Bj6CwEXV6gjqNsW%2BOZU0g%2BYMdMpk%2Fw3mW53RVVM6rojmuGM%2BH8k610GNCTqOYDYARCOyXDbIeQINYhK8IVNHxx2N%2FO3MdvB%2BaVcyFW3pdPdBUNIVmQj%2FVNEB%2BqVLM4M66XCatsvA%3D%3D&X-Amz-Signature=2c3b19b0dff0e899cefdfe4d1b88ddad8328d84b5aa45971585c9bcd5bc83543,
